id,descripcion,estado,fecha_disponibilidad_inicio,fecha_disponibilidad_final,nombre,url
1,"MODIS Terra Daily NDVI, obtenidos usando Google Earth API, proveedor: Google. Metricas: NDVI.","activa","2000/02/24","2023/02/17","MODIS/MOD09GA_006_NDVI","https://developers.google.com/earth-engine/datasets/catalog/MODIS_MOD09GA_006_NDVI"
2,"Daymet V4: Daily Surface Weather and Climatological Summaries, obtenidos usando Google Earth API, proveedor: NASA ORNL en el Oak Ridge National Laboratoty. Metricas:dayl, prcp, srad, swe, tmax, tmin, vp.","activa","1980/01/01","2023/12/31","NASA/ORNL/DAYMET_V4","https://developers.google.com/earth-engine/datasets/catalog/NASA_ORNL_DAYMET_V4"
3,"Tabla de datos abiertos indicadores Jalisco. Se presentan valores acumulados de los meses transcurridos en el año de análisis.","activo","2006/01/01","ultimo mes concluido","Tabla de datos abiertos indicadores Jalisco","https://mide.jalisco.gob.mx/mide/panelCiudadano/tablaDatos/?indicadorTablaDatos=772&nivelTablaDatos=3&periodicidadTablaDatos=mensual&accionRegreso=mapaMunicipal"
