codigo,descripcion_corta,descripcion_larga,nombre
"daily","Duracion del periodo de luz diaria","Duracion del periodo de luz diaria. Basado en el periodo de dia durante el cual el sol esta sobre un horizonte plano hipotetico. Unidad: segundos, Min: 0, Max: 86400","Luz diaria"
"ndvi","Indice de vegetacion de diferencia normalizada","Indice de vegetacion de diferencia normalizada. Tamanio de pixel: 463.313m. Min: -1. Max: 1","Normalized Difference Vegetation Index"
"prcp","Precipitacion total diaria","Precipitacion total diaria, suma de todas las formas convertidas a equivalente de agua. Unidad: mm, Min: 0, Max: 544","Precipitacion"
"srad","Densidad de flujo de radiacion de onda corta incidente","Densidad de flujo de radiacion de onda corta incidente, tomada como promedio durante el periodo de luz diurna del dia. Unidad: W/m^2, Min: 0, Max: 1051.","Radiacion"
"swe","Equivalente de agua en la nieve","Equivalente de agua en la nieve, la cantidad de agua contenida en el manto de nieve. Unidad:kg/m^2, Min: 0, Max: 13931","Snow Water Equivalent"
"tmax","Temperatura maxima diaria del aire de 2 metros","Temperatura maxima diaria del aire de 2 metros. Unidad: °C, Min: -60, Max: 60","Temperatura maxima"
"tmin","Temperatura minima diaria del aire de 2 metros","Temperatura minima diaria del aire de 2 metros. Unidad: °C, Min: -60, Max: 42","Temperatura minima"
"vp","Presion parcial media diaria de vapor de agua","Presion parcial media diaria de vapor de agua. Unidad: Pa, Min: 0, Max: 8230","Vapor"
