descripcion,estado,fecha_activacion,fecha_desactivacion,fecha_ultimo_cambio,nombre,url
"MODIS Terra Daily NDVI, obtenidos usando Google Earth API, proveedor: Google. Metricas: NDVI.","activa","29/5/2025","29/5/2025","","MODIS/MOD09GA_006_NDVI","https://developers.google.com/earth-engine/datasets/catalog/MODIS_MOD09GA_006_NDVI"
"Daymet V4: Daily Surface Weather and Climatological Summaries, obtenidos usando Google Earth API, proveedor: NASA ORNL en el Oak Ridge National Laboratoty. Metricas:dayl, prcp, srad, swe, tmax, tmin, vp.","activa","29/5/2025","29/5/2025","","NASA/ORNL/DAYMET_V4","https://developers.google.com/earth-engine/datasets/catalog/NASA_ORNL_DAYMET_V4"
